Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Watchers,Watchers Id,Custom field (Actual Result),Custom field (Actual Result)_13,Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result)_14,Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Sprint_15,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Data),Custom field (Test Level),Custom field (Test Steps),Custom field (Test steps).1,Custom field (Testcase Result),Custom field (Testcase Result)_16,Custom field (Text Level),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Parent,Parent summary,Status Category
CSF36 - verify Customized Statement Form - Amount Lower Limit – Special character are not allowed,BAN-50,10049,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:37,12/6/2022 16:10,3/17/2023 15:09,,12/13/2022 0:00,0,CustomizedStatemenForm,Amount Lower Limit – Special character are not allowed,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzv,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10003,Customized Statement,To Do
CSF37 - verify Customized Statement Form - Amount Lower Limit – Amount Lower Limit is required,BN-46,10184,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:42,12/15/2022 7:07,3/17/2023 15:09,12/15/2022 7:07,,0,CustomizedStatemenForm,Amount Lower Limit – Amount Lower Limit is required,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-4,Customized Statement,,,,báo l?i,,,,,0|i000ry:tr,,BN Sprint 1,,,,,,,,,,,,"1 không nh?p gi?i h?n d??i
2 sumit",,Pass,Unit,,,,,,Done
CSF37 - verify Customized Statement Form - Amount Lower Limit – Amount Lower Limit is required,BAN-52,10051,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:38,12/6/2022 16:10,3/17/2023 15:09,,12/13/2022 0:00,0,CustomizedStatemenForm,Amount Lower Limit – Amount Lower Limit is required,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzx,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10003,Customized Statement,To Do
CSF38 - verify Customized Statement Form - Amount Lower Limit – Characters are not allowed,BN-47,10185,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:42,12/15/2022 7:07,3/17/2023 15:09,12/15/2022 7:07,,0,CustomizedStatemenForm,Amount Lower Limit – Characters are not allowed,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-4,Customized Statement,,,,báo l?i,,,,,0|i000ry:u,,BN Sprint 1,,,,,,,,,,,,"1 nhâp ký t? ??t bi?t
2 sumti",,Pass,Unit,,,,,,Done
CSF38 - verify Customized Statement Form - Amount Lower Limit – Characters are not allowed,BAN-54,10053,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:39,12/6/2022 16:10,3/17/2023 15:09,,12/13/2022 0:00,0,CustomizedStatemenForm,Amount Lower Limit – Characters are not allowed,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzy,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10003,Customized Statement,To Do
CSF39 - verify Customized Statement Form - Number of Transaction – Special character are not allowed,BN-134,10278,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 19:57,12/15/2022 7:08,3/17/2023 15:09,12/15/2022 7:08,,0,CustomizedStatemenForm,Special character are not allowed,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-4,Customized Statement,,,,báo l?i,,,,,0|i000ry:ui,,BN Sprint 1,,,,,,,,,,,,"1 nh?p ký t? ??t bi?t
2 nh?n sumit",,Pass,Unit,,,,,,Done
CSF39 - verify Customized Statement Form - Number of Transaction – Special character are not allowed,BAN-55,10054,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:40,12/6/2022 16:10,3/17/2023 15:09,,12/13/2022 0:00,0,CustomizedStatemenForm,Number of Transaction – Special character are not allowed,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzz,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10003,Customized Statement,To Do
CSF40 - verify Customized Statement Form - Number of Transaction  - Number of Transaction must not be blank,BN-51,10189,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:44,12/15/2022 7:08,3/17/2023 15:09,12/15/2022 7:08,,0,CustomizedStatemenForm,Number of Transaction  - Number of Transaction must not be blank,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-4,Customized Statement,,,,báo l?i,,,,,0|i000ry:vd,,BN Sprint 1,,,,,,,,,,,,"1 không nh?p s? giao d?ch
2 sumit",,Pass,Unit,,,,,,Done
CSF40 - verify Customized Statement Form -Number of Transaction - Number of Transaction must not be blank,BAN-56,10055,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:40,12/6/2022 16:10,3/17/2023 15:09,,12/13/2022 0:00,0,CustomizedStatemenForm,Number of Transaction - Number of Transaction must not be blank,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzzi,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10003,Customized Statement,To Do
CSF41 - verify Customized Statement Form - Number of Transaction – Character are not allowed,BN-54,10192,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:45,12/15/2022 7:08,3/17/2023 15:09,12/15/2022 7:08,,0,CustomizedStatemenForm,Number of Transaction – Character are not allowed,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-4,Customized Statement,,,,báo l?i,,,,,0|i000ry:vf,,BN Sprint 1,,,,,,,,,,,,"1 nh?p ký t? không ???c phép
2 sumit",,Pass,Unit,,,,,,Done
CSF41 - verify Customized Statement Form - Number of Transaction – Character are not allowed,BAN-58,10057,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:41,12/6/2022 16:10,3/17/2023 15:09,,12/13/2022 0:00,0,CustomizedStatemenForm,Number of Transaction – Character are not allowed,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzzr,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10003,Customized Statement,To Do
Customized Statement,BN-4,10142,Epic,To Do,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/10/2022 11:34,12/24/2022 21:35,3/17/2023 15:09,,,0,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,ghx-label-7,,,Customized Statement,To Do,,,,purple,,,0|i000ox:,,,,,,,,,,,,,,,,,,,,,,,To Do
Customized Statement,BAN-4,10003,Epic,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/6/2022 8:25,12/6/2022 8:25,3/17/2023 15:09,,,0,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,,,,,,,,purple,,,0|i0000n:,,,,,,,,,,,,,,,,,,,,,,,To Do
D1 - Verify Deposit - Account No must not be blank,BAN-154,10297,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,12/16/2022 23:47,12/16/2022 23:53,3/17/2023 15:09,,,0,,"Account No must not be blank

!image-20221216-164923.png|width=808,height=287!",Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Thành công,,,,,,,Báo l?i,,,,,,0|i0016n:,,BAN Sprint 1,,,,,,,,,,,Tài kho?n khách hàng không ???c b? tr?ng,,,,,,,,10011,Deposit,To Do
D2 - Verify Deposit - Special character are not allowed,BAN-155,10298,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,12/16/2022 23:53,12/16/2022 23:55,3/17/2023 15:09,,,0,,"Special character are not allowed

!image-20221216-165408.png|width=733,height=274!",Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Thành công,,,,,,,Báo l?i,,,,,,0|i0016v:,,BAN Sprint 1,,,,,,,,,,,Không ???c s? d?ng ký t?,,,,,,,,10011,Deposit,To Do
D3 - Verify Deposit - Characters are not allowed,BAN-156,10299,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,12/16/2022 23:55,12/16/2022 23:57,3/17/2023 15:09,,,0,,"Characters are not allowed

!image-20221216-165612.png|width=771,height=272!",Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Thành công,,,,,,,Báo l?i,,,,,,0|i00173:,,BAN Sprint 1,,,,,,,,,,,Không ???c s? d?ng các ký t? ??c bi?t,,,,,,,,10011,Deposit,To Do
D4 - Verify Deposit - Amount field must not be blank,BAN-157,10300,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,12/16/2022 23:57,12/16/2022 23:59,3/17/2023 15:09,,,0,,"[Guru99 Bank Amount Deposit Page|https://demo.guru99.com/v4/manager/DepositInput.php]

!image-20221216-165848.png|width=795,height=299!",Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Thành công,,,,,,,Báo l?i,,,,,,0|i0017b:,,BAN Sprint 1,,,,,,,,,,,Không ???c ?? tr?ng ph?n Amount,,,,,,,,10011,Deposit,To Do
D48 - verify Deposit - Account No must not be blank,BN-69,10207,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:50,12/16/2022 7:27,3/17/2023 15:09,12/16/2022 7:27,,0,Deposit, Account No must not be blank,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-12,Deposit,,,,báo l?i,,,,,0|i000ry:x,,BN Sprint 1,,,,,,,,,,,,"1 không nh?p s? tài kho?n 
2 sumit",,Skip,Unit,,,,,,Done
D48 - verify Deposit - Account No must not be blank,BAN-82,10081,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:52,12/6/2022 16:11,3/17/2023 15:09,,12/13/2022 0:00,0,Deposit,Account No must not be blank,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzzzx,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10011,Deposit,To Do
D49 - verify Deposit - Special character are not allowed,BN-73,10211,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:51,12/16/2022 7:27,3/17/2023 15:09,12/16/2022 7:27,,0,Deposit,Special character are not allowed,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-12,Deposit,,,,báo l?i ,,,,,0|i000ry:z,,BN Sprint 1,,,,,,,,,,,,"1 nh?p ký t? ??t bi?t
2 s?mit",,Skip,Unit,,,,,,Done
D49 - verify Deposit - Special character are not allowed,BAN-85,10084,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:53,12/6/2022 16:20,3/17/2023 15:09,,12/13/2022 0:00,0,Deposit,Special character are not allowed,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzzzy,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10011,Deposit,To Do
D5 - Verify Deposit - Characters are not allowed,BAN-159,10302,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,12/17/2022 0:02,12/17/2022 0:03,3/17/2023 15:09,,,0,,"Characters are not allowed

!image-20221216-170256.png|width=760,height=384!",Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Thành công,,,,,,,Báo l?i,,,,,,0|i0017r:,,BAN Sprint 1,,,,,,,,,,,Không ???c s? d?ng ký t? ??c bi?t cho ph?n Amount,,,,,,,,10011,Deposit,To Do
D5 - Verify Deposit - Description must not be blank,BAN-160,10303,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,12/17/2022 0:04,12/17/2022 0:05,3/17/2023 15:09,,,0,,"Description must not be blank

!image-20221216-170458.png|width=752,height=318!",Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Thành công,,,,,,,Báo l?i,,,,,,0|i0017z:,,BAN Sprint 1,,,,,,,,,,,Không ???c ?? tr?ng ph?n Description,,,,,,,,10011,Deposit,To Do
D5 - Verify Deposit - Special characters are not allowed,BAN-158,10301,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,12/17/2022 0:00,12/17/2022 0:01,3/17/2023 15:09,,,0,,"Special characters are not allowed

!image-20221216-170056.png|width=760,height=303!",Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Thành công,,,,,,,Báo l?i,,,,,,0|i0017j:,,BAN Sprint 1,,,,,,,,,,,Không ???c s? d?ng ký t? cho ph?n Amount,,,,,,,,10011,Deposit,To Do
D50 - verify Deposit - Characters are not allowed,BN-75,10213,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:52,12/16/2022 7:27,3/17/2023 15:09,12/16/2022 7:27,,0,Deposit,Characters are not allowed,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-12,Deposit,,,,báo l?i,,,,,0|i000ry:zi,,BN Sprint 1,,,,,,,,,,,,"1 nh?p ký t? không ???c phép
2 sumit",,Skip,Unit,,,,,,Done
D50 - verify Deposit - Characters are not allowed,BAN-86,10085,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:53,12/6/2022 16:21,3/17/2023 15:09,,12/13/2022 0:00,0,Deposit,Characters are not allowed,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzzzz,,BAN Sprint 1,,,,,,,,,,,,,,,,,,,10011,Deposit,To Do
D51 - verify Deposit - Amount field must not be blank,BN-77,10215,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:52,12/16/2022 7:27,3/17/2023 15:09,12/16/2022 7:27,,0,Deposit,Amount field must not be blank,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-12,Deposit,,,,báo l?i,,,,,0|i000ry:zr,,BN Sprint 1,,,,,,,,,,,,"1 không nh?p s? ti?n
2 sumit",,Skip,Unit,,,,,,Done
D51 - verify Deposit - Amount field must not be blank,BAN-89,10088,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:54,12/6/2022 16:21,3/17/2023 15:09,,12/13/2022 0:00,0,Deposit,Amount field must not be blank,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzzzzi,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10011,Deposit,To Do
D52 - verify Deposit - Special characters are not allowed,BN-79,10217,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:52,12/16/2022 7:27,3/17/2023 15:09,12/16/2022 7:27,,0,Deposit, Special characters are not allowed,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-12,Deposit,,,,báo l?i,,,,,0|i000ry:zv,,BN Sprint 1,,,,,,,,,,,,"1 không nh?p ký t? ??t bi?t vào s? ti?n
2 sumit",,Skip,Unit,,,,,,Done
D52 - verify Deposit - Special characters are not allowed,BAN-90,10089,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:54,12/6/2022 16:21,3/17/2023 15:09,,12/13/2022 0:00,0,Deposit,Special characters are not allowed,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzzzzr,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10011,Deposit,To Do
D53 - verify Deposit - Characters are not allowed,BN-81,10219,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:53,12/16/2022 7:27,3/17/2023 15:09,12/16/2022 7:27,,0,Deposit,Characters are not allowed,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-12,Deposit,,,,báo l?i,,,,,0|i000ry:zx,,BN Sprint 1,,,,,,,,,,,,"1 nh?p ký t? không ???c phép
2 sumit",,Skip,Unit,,,,,,Done
D53 - verify Deposit - Characters are not allowed,BAN-92,10091,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:54,12/6/2022 16:22,3/17/2023 15:09,,12/13/2022 0:00,0,Deposit,Characters are not allowed,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzzzzv,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10011,Deposit,To Do
D54 - verify Deposit - Description must not be blank,BN-85,10223,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:53,12/16/2022 7:27,3/17/2023 15:09,12/16/2022 7:27,,0,Deposit, Description must not be blank,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-12,Deposit,,,,báo l?i,,,,,0|i000ry:zy,,BN Sprint 1,,,,,,,,,,,,"1 không nh?p mô t?
2 sumit",,Skip,Unit,,,,,,Done
D54 - verify Deposit - Description must not be blank,BAN-95,10094,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:55,12/6/2022 16:22,3/17/2023 15:09,,12/13/2022 0:00,0,Deposit,,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzzzzx,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,06/Dec/22 10:12 AM;62980eb8b407cc006900240b;Description must not be blank,10011,Deposit,To Do
DAF1 - Verify Delete Account - Account No must not be blank,BAN-147,10290,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,12/16/2022 22:57,12/16/2022 23:18,3/17/2023 15:09,,,0,,Account No must not be blank,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Thành công,,,,,,,,,,,,,0|i00153:,,BAN Sprint 1,,,,,,,,,,Unit,?i?n ??y ?? thông cho Acconunt No,,,,,,,,10009,Delete Account,To Do
DAF2 - Verify Delete Account - Special character are not allowed,BAN-148,10291,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,12/16/2022 23:17,12/16/2022 23:32,3/17/2023 15:09,,,0,,Special character are not allowed,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Thành công,,,,,,,Báo l?i,,,,,,0|i0015b:,,BAN Sprint 1,,,,,,,,,,,Không ???c ?i?n các ký t?,,,,,,,,10010,Delete Customer,To Do
DAF3 - Verify Delete Acconunt - Characters are not allowed,BAN-149,10292,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,12/16/2022 23:22,12/16/2022 23:30,3/17/2023 15:09,,,0,,Characters are not allowed,Ph?m Hoàng S?n,6397e954f78d12c0f470fe51,Thành công,,,,,,,Báo l?i,,,,,,0|i0015j:,,BAN Sprint 1,,,,,,,,,,,Không ???c s? d?ng các ký t? ??c bi?t,,,,,,,,10009,Delete Account,To Do
DAF42 - Delete Account Form -Account No must not be blank,BAN-61,10060,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:43,12/6/2022 16:10,3/17/2023 15:09,,12/13/2022 0:00,0,DeleteAccountForm,Account No must not be blank,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzzv,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10009,Delete Account,To Do
DAF42 Delete Account Form - Account No must not be blank,BN-59,10197,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:46,12/15/2022 7:08,3/17/2023 15:09,12/15/2022 7:08,,0,DeleteAccountForm,Account No must not be blank,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-10,Delete Account,,,,báo l?i,,,,,0|i000ry:vfi,,BN Sprint 1,,,,,,,,,,,,"1 không nh?p tài kho?n
2 sumit",,Pass,Unit,,,,,,Done
DAF43 - Delete Account Form -Special character are not allowed,BAN-62,10061,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:44,12/6/2022 16:10,3/17/2023 15:09,,12/13/2022 0:00,0,DeleteAccountForm,Special character are not allowed,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzzx,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10009,Delete Account,To Do
DAF43 Delete Account Form - Special character are not allowed,BN-61,10199,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:46,12/15/2022 7:08,3/17/2023 15:09,12/15/2022 7:08,,0,DeleteAccountForm,Special character are not allowed,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-10,Delete Account,,,,báo l?i,,,,,0|i000ry:vg,,BN Sprint 1,,,,,,,,,,,,"1nh?p ký t?  ??t bi?tkhông ? ??c phép
2 sumit",,Pass,Unit,,,,,,Done
DAF44 - Delete Account Form -Characters are not allowed,BAN-64,10063,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:46,12/6/2022 16:10,3/17/2023 15:09,,12/13/2022 0:00,0,DeleteAccountForm,Characters are not allowed,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzzy,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10009,Delete Account,To Do
DAF44 Delete Account Form - Characters are not allowed,BN-62,10200,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:47,12/15/2022 7:08,3/17/2023 15:09,12/15/2022 7:08,,0,DeleteAccountForm,Special character are not allowed,Syo,62980eb8b407cc006900240b,,báo  l?i,,BN-10,Delete Account,,,,báo l?i,,,,,0|i000ry:vr,,BN Sprint 1,,,,,,,,,,,,"1 nh?p ký t? không ???c phép
2 sumit",,Pass,Unit,,,,,,Done
